dilirank_name,is_dili,n_targets_uniprot,n_targets_mapped,ecnp_z,ecnp_mu_T,ecnp_sigma_T,pool_size,I_T,k,drugbank_id,smiles
Ceftaroline fosamil,1,1,1,,0.0,0.0,0,0.0,0,DB06590,CCON=C(C1=NSC(=N1)NP(=O)(O)O)C(=O)NC2C3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-]
Ceftazidime,1,5,5,,0.0,0.0,0,0.0,0,DB00438,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
Ceftriaxone sodium,1,5,5,,0.0,0.0,0,0.0,0,DB01212,CN1C(=NC(=O)C(=O)[N-]1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+].[Na+]
Cefuroxime sodium,1,1,1,,0.0,0.0,0,0.0,0,DB01112,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)[O-].[Na+]
Celecoxib,1,7,7,1.9334037258605092,0.11775007649804656,0.08619380410008141,764,0.2843974984912348,5,DB00482,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Cephalexin,1,5,5,,0.0,0.0,0,0.0,0,DB00567,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O
Ceritinib,1,1,1,,0.0,0.0,0,0.0,0,DB09063,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl
Cetirizine hydrochloride,1,1,1,,0.0,0.0,0,0.0,0,DB00341,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl
Chloramphenicol,0,3,3,0.013562293728428612,0.05735211273929,0.04611451378052889,177,0.0579775313203252,1,DB00446,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
Chlorcyclizine hydrochloride,1,1,1,,0.0,0.0,0,0.0,0,DB08936,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl
Chlordiazepoxide hydrochloride,1,3,3,-0.5341522236995966,0.02755790755617818,0.011987079094581358,190,0.0211549826021446,1,DB00475,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl
Chlormezanone,1,1,1,-0.5341522236995966,0.02755790755617818,0.011987079094581358,190,0.0211549826021446,1,DB01178,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
Chlorothiazide,1,3,3,0.07467960236329348,0.008543519401918519,0.0010499375955103016,188,0.0086219283240575,1,DB00880,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
Chlorpheniramine maleate,0,4,4,,0.0,0.0,0,0.0,0,DB01114,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O
Chlorpromazine hydrochloride,1,24,24,0.34108759934709654,0.12832327185550124,0.0915476719841339,707,0.15954904751838492,6,DB00477,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl
Chlorpropamide,1,2,2,,0.0,0.0,0,0.0,0,DB00672,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
Chlorzoxazone,1,1,1,-0.23492377259502084,0.010836590539588166,0.0024266588587993298,133,0.0102665106856779,1,DB00356,C1=CC2=C(C=C1Cl)NC(=O)O2
Cimetidine,1,1,1,,0.0,0.0,0,0.0,0,DB00501,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cinacalcet hydrochloride,0,1,1,,0.0,0.0,0,0.0,0,DB01012,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F.Cl
Ciprofloxacin hydrochloride,1,13,12,0.9094290419888179,0.020312065577823696,0.03350805130501869,58,0.050785260575059,1,DB00537,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.O.Cl
Cisplatin,1,4,4,5.304725721038115,0.20942718654633397,0.06270532869824001,416,0.5420617565380372,3,DB00515,N.N.Cl[Pt]Cl
Cladribine,1,11,11,-0.08381432981064635,0.3448226197738618,0.09912427489601487,707,0.33651458510548604,10,DB00242,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
Clarithromycin,1,4,4,0.20133682624219956,0.1293733020647025,0.14535593849771858,309,0.1586388053972895,2,DB01211,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
Clevidipine,0,4,4,,0.0,0.0,0,0.0,0,DB04920,CCCC(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
Clindamycin hydrochloride,1,1,1,,0.0,0.0,0,0.0,0,DB01190,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl.Cl
Clofibrate,1,2,2,1.7282525048795032,0.07497280178750935,0.0624259123320112,120,0.182860541144696,1,DB00636,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
Clomiphene citrate,1,2,2,2.1722174686528692,0.10894667609633854,0.04626195076731817,108,0.20943769368706608,2,DB00882,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Clomipramine hydrochloride,1,6,6,2.5317857553364487,0.07741669749991971,0.0663218532680681,150,0.2453294208715286,1,DB01242,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl.Cl
Clonazepam,1,3,3,4.26830807606249,0.037441179052790534,0.04011728140459537,122,0.2086740952616965,1,DB01068,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
Clotrimazole,1,5,5,4.26830807606249,0.037441179052790534,0.04011728140459537,122,0.2086740952616965,1,DB00257,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
Cloxacillin sodium,1,3,3,,0.0,0.0,0,0.0,0,DB01147,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+]
Clozapine,1,33,33,1.4321557736494959,0.14448857633184345,0.10500573386918174,569,0.2948731443588945,5,DB00363,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
Codeine sulfate,0,3,3,,0.0,0.0,0,0.0,0,DB00318,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O.O.O.O.OS(=O)(=O)O
Colistimethate sodium,0,1,1,,0.0,0.0,0,0.0,0,DB01111,CCC(C)CCCCC(=O)NCCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC(C)C)CCN)CC(C)C)CCN)CCN)CCN)C(C)O
Conivaptan hydrochloride,0,2,2,-0.11049008962403307,0.012825694343039063,0.0021670229860052733,253,0.012586259779098,1,DB00872,CC1=NC2=C(N1)CCN(C3=CC=CC=C32)C(=O)C4=CC=C(C=C4)NC(=O)C5=CC=CC=C5C6=CC=CC=C6.Cl
Copper cu-64 dotatate,0,1,1,,0.0,0.0,0,0.0,0,DB15873,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)CN6CCN(CCN(CCN(CC6)CC(=O)[O-])CC(=O)[O-])CC(=O)O)C(=O)NC(C(C)O)C(=O)O)O.[Cu+2]
Corticorelin ovine triflutate,0,2,2,,0.0,0.0,0,0.0,0,DB09067,CCC(C)C(C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CN=CN2)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCSC)C(=O)NC(C(C)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(C)C(=O)NC(CC3=CN=CN3)C(=O)NC(CO)C(=O)NC(CC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(C(C)CC)C(=O)NC(C)C(=O)N)NC(=O)C4CCCN4C(=O)C5CCCN5C(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(CO)N
Corticotropin,0,2,2,,0.0,0.0,0,0.0,0,DB01285,CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C4CCCN4C(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(C(C)C)NC(=O)C(CCCCN)NC(=O)C(C(C)C)NC(=O)C6CCCN6C(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(C(C)C)NC(=O)C7CCCN7C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC8=CNC9=CC=CC=C98)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CO)N
Cosyntropin,0,1,1,,0.0,0.0,0,0.0,0,DB01284,CC(C)C(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)N3CCCC3C(=O)O)NC(=O)C4CCCN4C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC8=CNC=N8)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC9=CC=C(C=C9)O)NC(=O)C(CO)N
Crizotinib,1,4,4,-0.2853050661094117,0.038538137259332535,0.057072058771757604,107,0.022255189758456,1,DB08865,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Cromoglicate,1,2,2,-0.16419104560581307,0.04298737713951701,0.06584602357327483,174,0.032176049680036,2,DB01003,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O
Cupric chloride,0,2,2,-0.03145285392033666,0.09014232758745695,0.0868727824960984,275,0.08740993064995399,2,DB09131,Cl[Cu]Cl
Cyanocobalamin,0,6,6,0.3559960622077814,0.2130798480822096,0.1406758016703881,834,0.2631598795247906,5,DB00115,CC1=CC2=C(C=C1C)[N+](=CN2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=N)[O-])N7)CCC(=N)[O-])(C)CC(=O)N)C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O.[C]#N.[Co+2]
Cyclobenzaprine hydrochloride,1,10,10,0.9334572468401904,0.04982716706436933,0.039756678412557304,105,0.0869383266388659,2,DB00924,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl
Cyclofenil,1,1,1,0.5741317246955044,0.012460870776492033,0.012197430863205528,68,0.0194638027948384,1,DB13472,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C
Cyclophosphamide,1,1,1,4.26830807606249,0.037441179052790534,0.04011728140459537,122,0.2086740952616965,1,DB00531,C1CNP(=O)(OC1)N(CCCl)CCCl
Cyclosporine,1,5,5,-0.15783893106049762,0.08121703846176039,0.08251421005637113,680,0.0681930837491614,4,DB00091,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
Cyproheptadine hydrochloride,1,9,9,,0.0,0.0,0,0.0,0,DB00434,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1.Cl
Cytarabine,1,2,1,-0.10221672852577714,0.01049114437303153,0.0014580108270550519,198,0.0103421112761348,1,DB00987,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
Dabigatran etexilate mesylate,1,1,1,0.9323922755199979,0.04174490121399085,0.06178290189048163,104,0.0993508016958858,1,DB06695,CCCCCCOC(=O)NC(=N)C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4.CS(=O)(=O)O
Dacarbazine,1,2,2,0.19239172116309197,0.08031315143223866,0.030349379373105667,371,0.0861521207660621,2,DB00851,CN(C)N=NC1=C(NC=N1)C(=O)N
Dacomitinib,1,3,3,-0.19840273448800444,0.066638617405623,0.13955500289645326,102,0.0389505232194853,2,DB11963,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
Dactinomycin,1,2,2,0.7080473547328144,0.017786150316567644,0.05522605393535686,216,0.0568888117178288,2,DB00970,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
Dalfampridine,0,16,16,-0.001153536172763643,0.006638129710954883,0.13964354953582245,257,0.0064770458252722,2,DB06637,C1=CN=CC=C1N
Dalteparin sodium,1,3,3,0.6533314414716476,0.07797962710021875,0.0682362148832421,149,0.1225604917304564,1,DB06779,C1N(CN(CN1CCO)CC[O-])CCO.[Na+]
Danazol,1,6,6,1.395017886556305,0.14659149857246706,0.08285364921040626,366,0.2621738211874455,3,DB01406,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5
Dantrolene sodium,1,1,1,,0.0,0.0,0,0.0,0,DB01219,C1C(=NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+]
Dapagliflozin,0,1,1,,0.0,0.0,0,0.0,0,DB06292,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl
Dapsone,1,2,2,,0.0,0.0,0,0.0,0,DB00250,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
Daptomycin,1,1,1,,0.0,0.0,0,0.0,0,DB00080,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
Darunavir,1,2,2,,0.0,0.0,0,0.0,0,DB01264,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N
Dasatinib,1,23,23,0.08234355546049489,0.23176146428555716,0.11403438745937773,1859,0.241151461193722,19,DB01254,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
Daunorubicin hydrochloride,0,2,2,0.8291198202977613,0.020533243945996475,0.04324449209074846,131,0.0563881094571458,2,DB00694,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl
Deferoxamine mesylate,1,1,1,0.37901095062299817,0.029379962858854844,0.055493583699039714,104,0.0504126387701048,1,DB00746,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O.CS(=O)(=O)O
Defibrotide sodium,0,3,3,-0.13984752067468,0.012848974552764098,0.0023318209191622694,235,0.0125228751785619,1,DB04932,CC(C)C1=C(C=C(C(=C1)C2=NNC(=O)N2C3=CC4=C(C=C3)N(C=C4)C)O)OP(=O)(O)O
Deflazacort,0,1,1,-0.16231866614558746,0.016198431040716707,0.00379951616929161,143,0.0155816986441187,1,DB11921,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C
Deoxycholic acid,0,13,13,7.050487096511825,0.2544028761742163,0.04394555143300887,600,0.5642404195017421,5,DB03619,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C
Desloratadine,1,1,1,,0.0,0.0,0,0.0,0,DB00967,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
Deutetrabenazine,0,1,1,,0.0,0.0,0,0.0,0,DB12161,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
Dexbrompheniramine maleate,0,1,1,,0.0,0.0,0,0.0,0,DB00405,CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O
Dexlansoprazole,1,3,3,,0.0,0.0,0,0.0,0,DB05351,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
Dexmethylphenidate hydrochloride,1,3,3,,0.0,0.0,0,0.0,0,DB06701,COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl
Dextroamphetamine sulfate,0,6,6,-0.0025204734926219754,0.0267821379368882,0.13965227418029136,241,0.0264301480816324,2,DB01576,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O
Diazepam,1,3,3,-0.5341522236995966,0.02755790755617818,0.011987079094581358,190,0.0211549826021446,1,DB00829,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
Dichlorphenamide,0,5,5,0.07467960236329348,0.008543519401918519,0.0010499375955103016,188,0.0086219283240575,1,DB01144,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
Diclofenac sodium,1,2,2,2.5383099739807014,0.07734422894122142,0.06548941841344119,168,0.2435766728902546,1,DB00586,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+]
Dicloxacillin sodium,1,6,5,,0.0,0.0,0,0.0,0,DB00485,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+]
Dicyclomine hydrochloride,0,3,3,,0.0,0.0,0,0.0,0,DB00804,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
Didanosine,1,3,3,2.831523868672312,0.04065231636994941,0.048656737634548586,147,0.1784250303539001,1,DB00900,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O
Diethylpropion hydrochloride,0,3,3,,0.0,0.0,0,0.0,0,DB00937,CCN(CC)C(C)C(=O)C1=CC=CC=C1.Cl
Difelikefalin acetate,0,1,1,,0.0,0.0,0,0.0,0,DB11938,CC(C)CC(C(=O)NC(CCCCN)C(=O)N1CCC(CC1)(C(=O)O)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N.CC(=O)O
Diflunisal,1,2,2,2.5383099739807014,0.07734422894122142,0.06548941841344119,168,0.2435766728902546,1,DB00861,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
Digoxin,0,7,7,0.0020185158333717377,0.028562385099548695,0.13958782117837099,264,0.0288441453267431,4,DB00390,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
Dihydroergotamine mesylate,0,16,16,-0.07478464595336558,0.01339034171667704,0.0023436318194263424,242,0.0132150740408162,1,DB00320,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O
Diltiazem hydrochloride,1,3,3,,0.0,0.0,0,0.0,0,DB00343,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl
Dimenhydrinate,0,1,1,,0.0,0.0,0,0.0,0,DB00985,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
Dimercaprol,0,1,1,0.37901095062299817,0.029379962858854844,0.055493583699039714,104,0.0504126387701048,1,DB06782,C(C(CS)S)O
Dimethyl fumarate,1,2,2,-0.3325092513934847,0.06828630513005832,0.06962906353675148,140,0.0451339973382237,2,DB08908,COC(=O)C=CC(=O)OC
Diphenhydramine hydrochloride,0,3,3,-0.5601600742407566,0.061559054954788354,0.06037235326236319,113,0.0277408730692538,1,DB01075,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl
Diphenoxylate,0,2,2,,0.0,0.0,0,0.0,0,DB01081,CCOC(=O)C1(CCN(CC1)CCC(C#N)(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4
Disulfiram,1,3,3,-0.40043266132134914,0.12960526567738315,0.14093137052250057,419,0.07317174191539311,3,DB00822,CCN(CC)C(=S)SSC(=S)N(CC)CC
Dobutamine hydrochloride,0,4,4,0.06355015256046807,0.03568301261041146,0.10733434464317829,484,0.042504126587463296,3,DB00841,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O.Cl
Docetaxel,1,3,3,4.26830807606249,0.037441179052790534,0.04011728140459537,122,0.2086740952616965,1,DB01248,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
Dofetilide,1,3,3,,0.0,0.0,0,0.0,0,DB00204,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C
Dolutegravir sodium,1,2,2,,0.0,0.0,0,0.0,0,DB08930,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-].[Na+]
Donepezil hydrochloride,1,8,8,0.9290594918928755,0.11028918538816701,0.0908583382099881,556,0.1947019869197696,3,DB00843,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC.Cl
Dopamine hydrochloride,0,16,16,2.1750626515952773,0.11785490523079893,0.0436326097787743,406,0.21275856515224179,2,DB00988,C1=CC(=C(C=C1CCN)O)O.Cl
Doxapram hydrochloride,0,2,2,,0.0,0.0,0,0.0,0,DB00561,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4.O.Cl
Doxazosin mesylate,1,4,4,-0.0025204734926219754,0.0267821379368882,0.13965227418029136,241,0.0264301480816324,2,DB00590,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O
Doxepin hydrochloride,1,19,19,-0.0025204734926219754,0.0267821379368882,0.13965227418029136,241,0.0264301480816324,2,DB01142,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31.Cl
Doxorubicin hydrochloride,1,5,5,0.5259124390357443,0.023829505999950262,0.07785965195131789,501,0.064776865460142,4,DB00997,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
Dronedarone hydrochloride,1,25,25,-0.9112720379374657,0.15771983532845338,0.09881371963382368,657,0.0676736556615575,5,DB04855,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC.Cl
Droperidol,0,2,2,-0.07478464595336558,0.01339034171667704,0.0023436318194263424,242,0.0132150740408162,1,DB00450,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
Droxicam,1,2,2,2.5383099739807014,0.07734422894122142,0.06548941841344119,168,0.2435766728902546,1,DB09215,CN1C2=C(C3=CC=CC=C3S1(=O)=O)OC(=O)N(C2=O)C4=CC=CC=N4
Droxidopa,0,10,10,-0.05493446575490698,0.07371889718667399,0.10179339644453148,677,0.0681269313356162,5,DB06262,C1=CC(=C(C=C1C(C(C(=O)O)N)O)O)O
Duloxetine hydrochloride,1,3,3,,0.0,0.0,0,0.0,0,DB00476,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32.Cl
Dutasteride,0,3,3,-0.23922821734332914,0.1816880599519072,0.14296120072830265,223,0.14748770675241352,3,DB01126,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C
Dyphylline,0,7,7,0.009539056751151999,0.06020133795898302,0.1337905903388463,604,0.0614775739929954,4,DB00651,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
